Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0402_1005Metric,25.231863,-47.537889,180.0,bottom
C2,1u,C_0402_1005Metric,18.737296,-20.531648,-90.0,bottom
C3,1u,C_0402_1005Metric,12.682253,-21.926648,180.0,bottom
C4,100n,C_0402_1005Metric,32.772633,-38.527319,0.0,bottom
C5,100n,C_0402_1005Metric,22.735283,-46.678428,-90.0,bottom
C6,100n,C_0402_1005Metric,24.024363,-37.503967,90.0,bottom
C7,100n,C_0402_1005Metric,30.422633,-37.507319,90.0,bottom
C8,100n,C_0402_1005Metric,32.698536,-45.648047,0.0,bottom
C9,1u,C_0402_1005Metric,32.698536,-44.457415,0.0,bottom
C10,100n,C_0402_1005Metric,71.299572,-80.628438,180.0,bottom
C11,220p,C_0402_1005Metric,30.468536,-55.61959,180.0,bottom
C12,100n,C_0402_1005Metric,32.698536,-46.838679,180.0,bottom
C13,100n,C_0402_1005Metric,232.74275,-76.692434,180.0,bottom
D1,PRTR5V0U2X,SOT-143,22.079122,-20.54084,180.0,bottom
F1,500mA,Fuse_1206_3216Metric,18.937296,-17.34034,0.0,bottom
J1,JST,JST-SR-4,49.537296,-23.668063,-90.0,bottom
R1,100,R_0402_1005Metric,25.778769,-53.927205,-90.0,bottom
R2,100,R_0402_1005Metric,24.588283,-53.926852,90.0,bottom
R3,100,R_0402_1005Metric,26.969539,-53.926852,-90.0,bottom
R4,100,R_0402_1005Metric,17.146858,-40.45,90.0,bottom
R5,100k,R_0402_1005Metric,18.337486,-40.45,90.0,bottom
R6,100,R_0402_1005Metric,12.3,-40.25,0.0,bottom
R7,10k,R_0402_1005Metric,34.205531,-45.099299,90.0,bottom
R8,10k,R_0402_1005Metric,28.862633,-37.887319,0.0,bottom
R9,10k,R_0402_1005Metric,25.201863,-48.569534,0.0,bottom
R10,100k,R_0402_1005Metric,27.372633,-80.227319,90.0,bottom
R11,100k,R_0402_1005Metric,63.772633,-79.327319,90.0,bottom
R12,100k,R_0402_1005Metric,76.772633,-76.927319,0.0,bottom
R13,100k,R_0402_1005Metric,48.072633,-82.527319,-90.0,bottom
R14,100k,R_0402_1005Metric,147.472633,-80.637319,-90.0,bottom
R15,100k,R_0402_1005Metric,80.072633,-84.937319,-90.0,bottom
R16,100k,R_0402_1005Metric,114.072633,-81.437319,-90.0,bottom
R17,100k,R_0402_1005Metric,94.672633,-82.26,-90.0,bottom
R18,100k,R_0402_1005Metric,34.608787,-55.955891,180.0,bottom
R19,1k,R_0402_1005Metric,32.218536,-56.465891,-90.0,bottom
R20,100k,R_0402_1005Metric,179.872633,-80.627319,-90.0,bottom
R21,100k,R_0402_1005Metric,211.695129,-76.863529,-90.0,bottom
R22,100k,R_0402_1005Metric,228.362633,-77.247319,180.0,bottom
R23,100k,R_0402_1005Metric,209.052633,-82.287319,0.0,bottom
R24,100k,R_0402_1005Metric,240.3,-81.91,-90.0,bottom
R25,100k,R_0402_1005Metric,250.137296,-81.85034,-90.0,bottom
R26,100k,R_0402_1005Metric,244.337296,-81.85034,-90.0,bottom
U1,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,27.461863,-42.760928,180.0,bottom
U2,XC6206PxxxMR,SOT-23,15.510004,-20.989148,90.0,bottom
U3,74HC4051,TSSOP16,73.793912,-84.092366,-90.0,bottom
U4,OPA350,SOIC-8_3.9x4.9mm_P1.27mm,31.583536,-51.248456,90.0,bottom
U5,74HC4051,TSSOP16,235.23709,-80.454019,-90.0,bottom
U6,SN74AHCT1G125,SOT-23-5,3.337296,-22.02784,90.0,bottom
Y1,8 MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,33.429456,-41.310928,90.0,bottom
